Protocol,NumNodes,NodeSpeed,Source,Destination,PauseTime,AreaSize,TrafficType,PacketSize,TxRange,RxRange,SimTime,TrafficLoad,PDR,Throughput (kbps),AvgDelay (ms),LossRate,RoutingOverhead,PerformanceClass,EnergyUsed (J)
AODV,10,15,0,1,4,254,UDP,896,82,87,15,93,0,0,0,0.967,1,Low,122.859
AODV,10,20,0,1,1,244,UDP,896,70,69,22,27,0,0,0,0.983,1,Low,180.195
AODV,10,1,0,1,0,289,UDP,512,85,58,20,30,0,0,0,0.986,1,Low,163.813
AODV,10,10,0,1,2,230,UDP,896,81,78,25,3,1,1007.365,0.394,0,1,High,205.454
AODV,10,10,0,1,0,297,UDP,896,87,60,17,43,0,0,0,0.971,1,Low,139.238
AODV,10,20,0,1,3,275,UDP,896,52,90,19,25,0,0,0,0.975,1,Low,155.62
AODV,10,1,0,1,0,288,UDP,768,93,88,22,74,0,0,0,0.983,1,Low,180.193
AODV,10,10,0,1,2,244,UDP,640,77,77,19,28,0,0,0,0.982,1,Low,155.622
AODV,10,5,0,1,5,215,UDP,640,69,64,15,96,0,0,0,0.977,1,Low,122.861
AODV,10,10,0,1,3,237,UDP,896,94,64,21,51,0,0,0,0.977,1,Low,172.004
AODV,10,10,0,1,0,280,UDP,768,85,56,17,52,0,0,0,0.975,1,Low,139.238
AODV,10,20,0,1,1,300,UDP,512,82,86,24,13,1,1210.194,0.588,0,4,High,197.775
AODV,10,5,0,1,0,294,UDP,896,59,66,23,79,0,0,0,0.979,1,Low,188.385
AODV,10,10,0,1,3,204,UDP,768,95,77,20,57,0,0,0,0.979,1,Low,163.816
AODV,10,5,0,1,2,217,UDP,640,98,52,23,20,0,0,0,0.985,1,Low,188.385
AODV,10,1,0,1,3,294,UDP,640,95,70,20,76,1,1019.553,0.168,0,1,High,164.058
AODV,10,20,0,1,1,267,UDP,512,85,89,25,66,1,1030.133,0.263,0,1,High,205.533
AODV,10,5,0,1,5,249,UDP,512,63,95,21,30,0,0,0,0.987,1,Low,172.004
AODV,10,15,0,1,5,217,UDP,512,90,82,17,50,0,0,0,0.984,1,Low,139.24
AODV,10,5,0,1,5,200,UDP,640,61,83,22,56,0,0,0,0.984,1,Low,180.197
AODV,10,20,0,1,4,230,UDP,512,90,79,18,1,1,1030.197,0.295,0,1,High,147.914
AODV,10,20,0,1,4,219,UDP,768,52,52,21,92,0,0,0,0.98,1,Low,172.005
AODV,10,10,0,1,1,291,UDP,512,66,76,16,29,0,0,0,0.983,1,Low,131.048
AODV,10,1,0,1,5,221,UDP,640,94,63,15,38,0,0,0,0.977,1,Low,122.859
AODV,10,1,0,1,1,292,UDP,512,83,98,19,30,0,0,0,0.985,1,Low,155.62
AODV,10,5,0,1,4,275,UDP,896,85,64,19,41,0,0,0,0.975,1,Low,155.62
AODV,10,20,0,1,4,219,UDP,512,89,77,19,97,0,0,0,0.985,1,Low,155.622
AODV,10,20,0,1,3,244,UDP,896,73,91,17,26,0,0,0,0.971,1,Low,139.239
AODV,10,20,0,1,0,263,UDP,896,55,99,22,83,0,0,0,0.983,1,Low,180.193
AODV,10,10,0,1,2,283,UDP,896,62,90,16,12,0,0,0,0.969,1,Low,131.05
AODV,10,10,0,1,0,277,UDP,896,66,97,16,23,0,0,0,0.969,1,Low,131.05
AODV,10,5,0,1,4,223,UDP,640,72,86,23,6,1,1019.511,0.347,0,1,High,189.111
AODV,10,1,0,1,2,284,UDP,768,50,64,21,17,1,1012.46,0.35,0,1,High,172.707
AODV,10,10,0,1,2,283,UDP,640,92,55,23,37,0,0,0,0.985,1,Low,188.381
AODV,10,10,0,1,5,210,UDP,768,82,79,25,32,0,0,0,0.984,1,Low,204.765
AODV,10,5,0,1,4,266,UDP,768,81,56,20,82,1,1012.476,0.348,0,1,High,164.368
AODV,10,20,0,1,4,288,UDP,640,51,80,19,96,0,0,0,0.982,1,Low,155.623
AODV,10,5,0,1,2,283,UDP,512,60,70,20,43,0,0,0,0.986,1,Low,163.81
AODV,10,5,0,1,1,277,UDP,512,51,74,25,13,0,0,0,0.989,1,Low,204.763
AODV,10,15,0,1,4,204,UDP,640,97,64,23,88,0,0,0,0.985,1,Low,188.385
AODV,10,5,0,1,3,227,UDP,512,99,99,24,100,1,1030.141,0.262,0,1,High,197.304
AODV,10,5,0,1,2,244,UDP,896,97,91,22,29,0,0,0,0.983,1,Low,180.196
AODV,10,10,0,1,2,287,UDP,768,50,84,22,70,0,0,0,0.983,1,Low,180.195
AODV,10,5,0,1,1,234,UDP,512,81,68,17,51,0,0,0,0.984,1,Low,139.24
AODV,10,1,0,1,3,248,UDP,896,57,76,20,14,0,0,0,0.976,1,Low,163.812
AODV,10,15,0,1,2,283,UDP,768,55,62,22,37,0,0,0,0.983,1,Low,180.192
AODV,10,10,0,1,1,276,UDP,512,67,79,15,77,0,0,0,0.981,1,Low,122.86
AODV,10,1,0,1,1,274,UDP,768,70,81,21,6,0,0,0,0.98,1,Low,172.005
AODV,10,5,0,1,1,236,UDP,640,66,55,23,60,0,0,0,0.985,1,Low,188.384
AODV,10,20,0,1,4,222,UDP,768,64,90,20,69,0,0,0,0.979,1,Low,163.811
AODV,10,15,0,1,1,214,UDP,512,77,77,25,9,0.989,1200.951,1.051,0.011,5,High,207.487
AODV,10,15,0,1,2,212,UDP,640,69,52,18,55,0.963,982.867,4.417,0.037,2,High,147.738
AODV,10,10,0,1,0,270,UDP,640,52,83,15,98,0,0,0,0.977,1,Low,122.86
AODV,10,20,0,1,4,266,UDP,640,56,91,20,93,0,0,0,0.983,1,Low,163.81
AODV,10,5,0,1,3,262,UDP,512,69,73,22,30,1,1783.735,0.633,0,4,High,181.648
AODV,10,5,0,1,0,280,UDP,640,83,79,17,28,0,0,0,0.98,1,Low,139.239
AODV,10,1,0,1,2,271,UDP,768,97,86,16,44,0,0,0,0.974,1,Low,131.05
AODV,10,20,0,1,2,259,UDP,896,64,79,25,39,0,0,0,0.981,1,Low,204.765
AODV,10,20,0,1,5,229,UDP,768,78,52,16,28,0,0,0,0.974,1,Low,131.05
AODV,10,20,0,1,5,250,UDP,512,64,51,21,36,0,0,0,0.987,1,Low,172.003
AODV,10,10,0,1,4,286,UDP,896,58,92,25,89,0,0,0,0.981,1,Low,204.763
AODV,10,10,0,1,5,255,UDP,512,74,81,16,41,0,0,0,0.983,1,Low,131.05
AODV,10,5,0,1,3,300,UDP,512,73,74,20,18,0,0,0,0.986,1,Low,163.812
AODV,10,15,0,1,5,233,UDP,640,92,59,24,68,0,0,0,0.986,1,Low,196.577
AODV,10,10,0,1,0,205,UDP,768,72,58,15,69,0,0,0,0.972,1,Low,122.86
AODV,10,1,0,1,2,232,UDP,768,99,68,23,95,0,0,0,0.982,1,Low,188.383
AODV,10,5,0,1,2,297,UDP,640,53,96,22,71,0,0,0,0.984,1,Low,180.191
AODV,10,5,0,1,0,238,UDP,640,69,99,18,87,0,0,0,0.981,1,Low,147.431
AODV,10,20,0,1,1,206,UDP,768,56,89,23,70,0.989,1843.059,1.321,0.011,5,High,190.026
AODV,10,20,0,1,2,241,UDP,640,91,80,24,89,0,0,0,0.986,1,Low,196.575
AODV,10,15,0,1,4,204,UDP,512,79,83,21,61,0,0,0,0.987,1,Low,172.002
AODV,10,20,0,1,5,219,UDP,896,85,98,18,84,0,0,0,0.973,1,Low,147.431
AODV,10,15,0,1,2,267,UDP,640,89,96,15,79,0,0,0,0.977,1,Low,122.859
AODV,10,10,0,1,4,251,UDP,640,74,60,24,39,0,0,0,0.986,1,Low,196.575
AODV,10,1,0,1,0,216,UDP,640,60,72,17,59,0,0,0,0.98,1,Low,139.239
AODV,10,1,0,1,1,241,UDP,896,73,75,22,95,1,1007.406,0.436,0,1,High,180.84
AODV,10,15,0,1,1,297,UDP,768,83,52,22,92,1,1694.375,0.822,0,4,High,181.387
AODV,10,10,0,1,3,271,UDP,640,63,70,16,52,0,0,0,0.978,1,Low,131.047
AODV,10,5,0,1,1,253,UDP,512,95,88,25,26,0,0,0,0.989,1,Low,204.768
AODV,10,5,0,1,4,279,UDP,768,71,71,19,5,0,0,0,0.978,1,Low,155.622
AODV,10,15,0,1,4,202,UDP,640,98,89,19,80,0,0,0,0.982,1,Low,155.623
AODV,10,10,0,1,1,284,UDP,512,68,65,19,60,1,1030.192,0.294,0,1,High,156.168
AODV,10,10,0,1,4,293,UDP,896,100,54,19,61,0,0,0,0.975,1,Low,155.624
AODV,10,15,0,1,5,257,UDP,640,73,74,19,35,1,1124.575,0.286,0,2,High,155.951
AODV,10,5,0,1,3,294,UDP,768,60,63,20,19,0,0,0,0.979,1,Low,163.81
AODV,10,1,0,1,4,228,UDP,768,61,91,20,75,0,0,0,0.979,1,Low,163.811
AODV,10,5,0,1,1,262,UDP,640,94,92,25,14,0,0,0,0.986,1,Low,204.764
AODV,10,20,0,1,5,277,UDP,896,58,53,19,33,0,0,0,0.975,1,Low,155.621
AODV,10,20,0,1,5,226,UDP,896,54,77,24,44,0,0,0,0.98,1,Low,196.577
AODV,10,15,0,1,2,255,UDP,896,55,62,16,37,0,0,0,0.969,1,Low,131.049
AODV,10,15,0,1,5,215,UDP,768,83,95,17,62,0,0,0,0.975,1,Low,139.239
AODV,10,15,0,1,3,210,UDP,640,77,87,25,51,1,1019.498,0.168,0,1,High,205.282
AODV,10,15,0,1,5,249,UDP,768,83,97,17,21,0,0,0,0.975,1,Low,139.239
AODV,10,10,0,1,2,208,UDP,640,53,74,20,61,0,0,0,0.983,1,Low,163.813
AODV,10,5,0,1,5,246,UDP,768,98,59,25,97,0,0,0,0.984,1,Low,204.768
AODV,10,20,0,1,3,282,UDP,512,99,73,17,41,0,0,0,0.984,1,Low,139.239
AODV,10,15,0,1,2,262,UDP,768,67,82,22,31,0,0,0,0.983,1,Low,180.193
AODV,10,15,0,1,2,294,UDP,768,53,91,23,36,0,0,0,0.982,1,Low,188.385
AODV,10,10,0,1,4,275,UDP,896,61,59,25,79,1,1007.373,0.208,0,1,High,205.176
AODV,10,20,0,1,2,285,UDP,896,100,63,16,25,0,0,0,0.969,1,Low,131.05
AODV,10,10,0,1,0,246,UDP,896,59,52,21,48,0,0,0,0.977,1,Low,172.003
AODV,10,5,0,1,2,214,UDP,768,88,90,23,34,0,0,0,0.982,1,Low,188.385
AODV,10,10,0,1,3,226,UDP,768,72,89,16,9,1,1081.49,0.364,0,2,High,131.406
AODV,10,20,0,1,4,201,UDP,512,62,79,21,72,0,0,0,0.987,1,Low,172.004
AODV,10,20,0,1,5,293,UDP,768,81,75,22,40,0,0,0,0.983,1,Low,180.192
AODV,10,1,0,1,4,272,UDP,640,70,72,23,90,0,0,0,0.985,1,Low,188.382
AODV,10,5,0,1,1,296,UDP,896,75,88,23,23,1,1007.396,0.328,0,1,High,188.769
AODV,10,5,0,1,3,270,UDP,896,61,96,15,32,1,1007.577,0.347,0,1,High,123.242
AODV,10,15,0,1,3,271,UDP,640,66,53,15,34,0,0,0,0.977,1,Low,122.859
AODV,10,10,0,1,5,210,UDP,896,84,83,15,23,0,0,0,0.967,1,Low,122.86
AODV,10,10,0,1,3,299,UDP,512,68,74,19,16,0,0,0,0.985,1,Low,155.621
AODV,10,10,0,1,2,220,UDP,896,83,72,22,77,0,0,0,0.983,1,Low,180.197
AODV,10,20,0,1,5,224,UDP,896,68,76,25,67,0,0,0,0.981,1,Low,204.763
AODV,10,15,0,1,4,211,UDP,896,66,72,25,31,1,1007.365,0.448,0,1,High,205.825
AODV,10,1,0,1,3,259,UDP,512,87,87,18,26,0,0,0,0.985,1,Low,147.434
AODV,10,15,0,1,1,270,UDP,768,100,95,21,44,0,0,0,0.98,1,Low,172.004
AODV,10,10,0,1,4,263,UDP,640,74,54,15,26,0,0,0,0.977,1,Low,122.861
AODV,10,1,0,1,4,281,UDP,640,56,67,15,51,0,0,0,0.977,1,Low,122.858
AODV,10,10,0,1,3,278,UDP,768,52,54,17,50,0,0,0,0.975,1,Low,139.239
AODV,10,1,0,1,0,202,UDP,768,89,69,21,78,0.471,263.102,77.896,0.506,7,Low,177.795
AODV,10,1,0,1,0,283,UDP,512,87,79,17,100,0,0,0,0.984,1,Low,139.241
AODV,10,10,0,1,4,278,UDP,640,70,66,23,99,1,1019.517,0.169,0,1,High,188.732
AODV,10,20,0,1,3,205,UDP,640,87,75,18,29,1,1019.577,0.302,0,1,High,148.039
AODV,10,15,0,1,5,296,UDP,640,57,90,24,46,0,0,0,0.986,1,Low,196.574
AODV,10,1,0,1,5,262,UDP,896,57,87,16,22,0,0,0,0.969,1,Low,131.051
AODV,10,15,0,1,4,285,UDP,768,74,67,21,58,0,0,0,0.98,1,Low,172.001
AODV,10,20,0,1,5,230,UDP,512,72,96,24,51,0,0,0,0.989,1,Low,196.575
AODV,10,10,0,1,2,250,UDP,640,62,52,24,7,0,0,0,0.986,1,Low,196.578
AODV,10,5,0,1,0,282,UDP,896,63,97,25,38,0,0,0,0.981,1,Low,204.764
AODV,10,20,0,1,4,222,UDP,512,89,94,20,42,0,0,0,0.986,1,Low,163.812
AODV,10,1,0,1,0,279,UDP,896,67,99,20,84,1,1007.44,0.452,0,1,High,164.294
AODV,10,5,0,1,2,217,UDP,768,53,56,20,90,0,0,0,0.979,1,Low,163.811
AODV,10,10,0,1,2,200,UDP,896,77,54,19,39,0,0,0,0.975,1,Low,155.621
AODV,10,20,0,1,4,293,UDP,512,51,68,24,15,0,0,0,0.989,1,Low,196.576
AODV,10,1,0,1,0,246,UDP,768,70,59,19,36,0,0,0,0.978,1,Low,155.624
AODV,10,10,0,1,1,297,UDP,768,79,88,21,74,0,0,0,0.98,1,Low,172.002
AODV,10,20,0,1,3,289,UDP,896,73,55,19,99,0,0,0,0.975,1,Low,155.622
AODV,10,20,0,1,5,234,UDP,640,78,88,21,34,0,0,0,0.984,1,Low,172.002
AODV,10,15,0,1,4,250,UDP,768,97,51,23,82,0,0,0,0.982,1,Low,188.383
AODV,10,5,0,1,2,251,UDP,768,55,91,19,65,0,0,0,0.978,1,Low,155.622
AODV,10,10,0,1,2,200,UDP,896,100,93,18,39,0,0,0,0.973,1,Low,147.431
AODV,10,5,0,1,0,280,UDP,896,53,58,17,57,0,0,0,0.971,1,Low,139.239
AODV,10,5,0,1,3,255,UDP,896,91,87,19,30,0,0,0,0.975,1,Low,155.62
AODV,10,10,0,1,2,259,UDP,768,82,52,23,17,0,0,0,0.982,1,Low,188.382
AODV,10,15,0,1,5,221,UDP,512,90,100,15,26,0,0,0,0.981,1,Low,122.858
AODV,10,15,0,1,3,211,UDP,768,92,64,17,75,0,0,0,0.975,1,Low,139.241
AODV,10,1,0,1,3,284,UDP,512,57,76,17,60,0,0,0,0.984,1,Low,139.241
AODV,10,15,0,1,4,277,UDP,512,99,74,15,3,0,0,0,0.981,1,Low,122.859
AODV,10,1,0,1,4,226,UDP,896,57,96,21,24,0,0,0,0.977,1,Low,172.003
AODV,10,15,0,1,1,227,UDP,896,86,67,25,91,0,0,0,0.981,1,Low,204.766
AODV,20,15,0,1,1,232,UDP,768,59,65,20,72,0,0,0,0.979,1,Low,327.639
AODV,20,1,0,1,3,272,UDP,896,96,62,25,87,1,1007.373,0.213,0,1,High,410.074
AODV,20,20,0,1,0,242,UDP,768,64,80,20,64,0,0,0,0.979,1,Low,327.634
AODV,20,10,0,1,3,256,UDP,640,79,91,16,65,0,0,0,0.978,1,Low,262.101
AODV,20,10,0,1,4,227,UDP,896,97,87,17,82,0.985,2132.784,1.462,0.014,5,High,279.601
AODV,20,5,0,1,2,212,UDP,896,94,98,18,44,1,1770.675,0.864,0,4,High,296.156
AODV,20,20,0,1,4,216,UDP,512,100,66,17,64,1,1030.223,0.189,0,1,High,278.944
AODV,20,15,0,1,5,207,UDP,640,97,60,19,100,0.922,8749.51,3.365,0.077,20,High,316.194
AODV,20,20,0,1,1,265,UDP,896,66,59,23,51,1,1007.391,0.398,0,1,High,377.275
AODV,20,10,0,1,4,257,UDP,768,60,68,22,61,0.999,1407.48,0.896,0.001,4,High,361.803
AODV,20,20,0,1,1,204,UDP,640,81,72,19,22,0,0,0,0.982,1,Low,311.255
AODV,20,10,0,1,1,225,UDP,896,83,59,23,48,0,0,0,0.979,1,Low,376.773
AODV,20,1,0,1,5,256,UDP,896,53,56,23,87,0,0,0,0.979,1,Low,376.77
AODV,20,15,0,1,2,201,UDP,768,94,50,20,93,0,0,0,0.979,1,Low,327.633
AODV,20,10,0,1,2,220,UDP,512,77,80,15,55,0,0,0,0.981,1,Low,245.729
AODV,20,15,0,1,5,264,UDP,512,50,94,22,18,1,1030.157,0.317,0,1,High,361.007
AODV,20,20,0,1,5,222,UDP,512,75,68,16,23,0,0,0,0.983,1,Low,262.107
AODV,20,5,0,1,5,243,UDP,896,85,100,23,72,0,0,0,0.979,1,Low,376.777
AODV,20,1,0,1,1,254,UDP,512,63,71,24,67,0,0,0,0.989,1,Low,393.155
AODV,20,15,0,1,0,272,UDP,512,52,56,23,87,1,1030.148,0.287,0,1,High,377.376
AODV,20,20,0,1,4,265,UDP,512,87,85,17,40,0,0,0,0.984,1,Low,278.485
AODV,20,10,0,1,3,206,UDP,768,88,57,21,32,0,0,0,0.98,1,Low,344.013
AODV,20,15,0,1,5,267,UDP,896,67,55,15,26,0.999,1612.12,0.688,0,4,High,246.32
AODV,20,1,0,1,2,228,UDP,512,99,94,16,26,0,0,0,0.983,1,Low,262.11
